Job Title | Survey | Online
Financial managers  chartered secs | GCSE grades A*-C or equivalent | Degree or equivalent
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Garage managers and proprietors | GCSE grades A*-C or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
Mechanical engineers | Degree or equivalent | Degree or equivalent
Customer care managers | Degree or equivalent | Degree or equivalent
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Spec needs educ teaching profs | Degree or equivalent | Other qualification
educal assistants | Other qualification | Degree or equivalent
Housing and welfare officers | Higher education | Degree or equivalent
Vehicle body builders and repairers | GCE A level or equivalent | Other qualification
Welding trades | GCE A level or equivalent | Other qualification
Welding trades | Higher education | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Advertising  public rel managers | GCSE grades A*-C or equivalent | Other qualification
Hotel and accommodation managers | Other qualification | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Police offcrs sergeant and below | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Labrers build  woodworking trades | GCSE grades A*-C or equivalent | Other qualification
Chartrd surveyors not qntity surv | Degree or equivalent | Other qualification
Town planners | Degree or equivalent | Degree or equivalent
Fin  invest analyst  advisers | Higher education | Other qualification
Graphic designers | Degree or equivalent | Degree or equivalent
Carpenters and joiners | GCE A level or equivalent | Other qualification
Engineering technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Filng  othr recrds assists  clrks | GCSE grades A*-C or equivalent | Other qualification
IT strategy and planning prfsnals | GCE A level or equivalent | Other qualification
Sen officials spec interest orgs | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Assemblers electrical products | Other qualification | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Inspcts fact utils  trdng stndrds | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Medical and dental technicians | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Painters and decorators | GCE A level or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Leisure and sports managers | GCE A level or equivalent | Degree or equivalent
IT operations technicians | Degree or equivalent | Degree or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Labrers build  woodworking trades | Other qualification | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Researchers nec | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Local gov clerical offs  assists | GCE A level or equivalent | Other qualification
Researchers nec | GCE A level or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Database assistants  clerks | Degree or equivalent | Other qualification
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Design and development engineers | Higher education | Degree or equivalent
Transport and distribution clerks | GCSE grades A*-C or equivalent | Other qualification
Office managers | GCE A level or equivalent | Degree or equivalent
Artists | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Business  related assoc profs nec | Degree or equivalent | Other qualification
Managers in construction | Higher education | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
School crossing patrol attendants | Higher education | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Fitness instructors | GCE A level or equivalent | Other qualification
Chartrd surveyors not qntity surv | GCE A level or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Marketing and sales managers | Higher education | Degree or equivalent
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Retail cashierscheckout operators | Degree or equivalent | Other qualification
Police offcrs sergeant and below | GCE A level or equivalent | Other qualification
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Transport and distribution managers | GCSE grades A*-C or equivalent | Degree or equivalent
Nursery nurses | GCE A level or equivalent | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Electrical  electronic technicians | Degree or equivalent | Degree or equivalent
Office managers | GCE A level or equivalent | Degree or equivalent
Nurses | Higher education | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Info  communication technol mngers | GCE A level or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Financial institution managers | Higher education | Degree or equivalent
